,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pisco,35,PE,1577509221,88,-13.71,-76.2,70.0,11.41
1,Carora,100,VE,1577509221,89,10.17,-70.08,68.88,0.31
2,Yenagoa,99,NG,1577509221,94,4.92,6.26,74.79,3.11
3,Cherskiy,0,RU,1577509221,89,68.75,161.3,-21.21,9.37
4,Mendoza,0,AR,1577509221,48,-32.89,-68.84,84.2,4.7
5,Nantucket,1,US,1577509078,93,41.28,-70.1,48.2,16.11
6,Castro,10,CL,1577509221,100,-42.48,-73.76,48.2,4.7
7,Rawson,23,AR,1577509222,52,-43.3,-65.11,63.72,16.75
8,Mahibadhoo,0,MV,1577509222,78,3.78,72.97,81.93,14.32
9,Oktyabrskiy,90,RU,1577509222,86,55.61,37.97,30.2,6.71
10,Severo-Kurilsk,100,RU,1577509222,98,50.68,156.12,27.72,6.4
11,Hithadhoo,100,MV,1577509222,82,-0.6,73.08,81.72,12.28
12,Saskylakh,96,RU,1577509222,95,71.97,114.09,-30.86,5.73
13,Zatoka,75,PL,1577509222,81,50.04,20.52,35.01,10.29
14,Iqaluit,90,CA,1577509213,77,63.75,-68.52,-0.4,21.92
15,Mataura,84,NZ,1577509222,79,-46.19,168.86,52.0,15.01
16,Puerto Ayora,53,EC,1577509223,89,-0.74,-90.35,73.99,5.01
17,Cape Town,0,ZA,1577509208,29,-33.93,18.42,66.0,6.67
18,Laguna,49,BZ,1577508987,94,16.17,-88.94,68.59,1.77
19,Tilichiki,18,RU,1577509223,92,60.47,166.1,-20.7,10.2
20,Hilo,90,US,1577509223,78,19.71,-155.08,78.8,3.36
21,Hermanus,0,ZA,1577509223,81,-34.42,19.24,62.01,11.99
22,Georgetown,20,GY,1577509223,100,6.8,-58.16,77.0,4.7
23,Jamestown,80,AU,1577509223,15,-33.21,138.6,98.74,10.85
24,Calamar,43,CO,1577509224,90,1.96,-72.65,72.88,1.88
25,Cidreira,21,BR,1577509224,89,-30.17,-50.22,73.62,27.2
26,Quatre Cocos,40,MU,1577509224,74,-20.21,57.76,82.4,12.75
27,Dicabisagan,21,PH,1577509224,79,17.08,122.42,79.84,5.37
28,Rikitea,79,PF,1577509224,88,-23.12,-134.97,76.86,9.66
29,Ushuaia,40,AR,1577509224,70,-54.81,-68.31,48.2,18.34
30,Upernavik,5,GL,1577509224,59,72.79,-56.15,-1.53,3.49
31,Butaritari,100,KI,1577509224,77,3.07,172.79,83.93,14.63
32,Atuona,21,PF,1577509225,76,-9.8,-139.03,81.3,15.17
33,Port Alfred,45,ZA,1577509225,76,-33.59,26.89,66.0,16.44
34,New Norfolk,42,AU,1577509225,46,-42.78,147.06,86.0,17.22
35,Bud,100,NO,1577509225,63,62.91,6.91,46.4,6.93
36,Busselton,0,AU,1577509225,29,-33.64,115.35,84.99,16.91
37,Severodvinsk,14,RU,1577509225,91,64.56,39.82,1.4,0.81
38,Hobart,32,AU,1577509025,46,-42.88,147.33,86.0,17.22
39,Barrow,14,AR,1577509226,82,-38.31,-60.23,72.99,2.73
40,Kupang,40,ID,1577509226,70,-10.16,123.6,87.8,12.75
41,San Juan Bautista,23,PY,1577509226,74,-26.67,-57.15,76.55,3.8
42,Khatanga,99,RU,1577509226,98,71.98,102.47,-29.61,6.82
43,Arona,0,IT,1577509226,100,45.76,8.56,39.0,8.05
44,Sitka,100,US,1577509226,97,37.17,-99.65,45.14,15.35
45,Ganzhou,0,CN,1577509226,35,25.86,114.93,64.31,1.21
46,Tura,42,RU,1577509227,91,64.27,100.22,-26.73,5.17
47,Cabedelo,20,BR,1577509227,83,-6.97,-34.84,75.2,5.82
48,Lorengau,68,PG,1577509227,75,-2.02,147.27,82.09,11.25
49,Morgan Hill,1,US,1577509227,80,37.13,-121.65,48.2,1.36
50,Dapaong,0,TG,1577509227,23,10.86,0.2,67.15,9.95
51,San Patricio,13,PY,1577509227,68,-26.98,-56.83,77.76,6.04
52,Port-Gentil,68,GA,1577509227,80,-0.72,8.78,80.53,3.89
53,Vaini,20,IN,1577509228,78,15.34,74.49,77.0,6.93
54,Faanui,86,PF,1577509228,76,-16.48,-151.75,80.28,18.59
55,Rundu,100,NA,1577509228,94,-17.91,19.77,69.8,3.36
56,Torbay,75,CA,1577509228,85,47.66,-52.73,21.99,3.36
57,Margate,32,AU,1577509228,46,-43.03,147.26,86.0,17.22
58,Tasiilaq,100,GL,1577509228,68,65.61,-37.64,30.2,31.09
59,Bredasdorp,55,ZA,1577509228,77,-34.53,20.04,62.01,10.29
60,Corn Island,9,NI,1577509228,81,12.17,-83.04,80.53,18.99
61,Keta,20,GH,1577509228,88,5.92,0.99,77.0,2.24
62,Pacific Grove,1,US,1577509229,80,36.62,-121.92,48.99,5.64
63,Cabo San Lucas,75,MX,1577509229,72,22.89,-109.91,68.0,8.05
64,Geraldton,5,CA,1577509229,85,49.72,-86.95,19.4,10.29
65,Omboue,93,GA,1577509229,92,-1.57,9.26,75.85,0.29
66,Ewa Beach,40,US,1577509229,88,21.32,-158.01,78.8,13.87
67,Port Hardy,90,CA,1577509215,87,50.7,-127.42,42.8,19.46
68,Arraial do Cabo,0,BR,1577509229,88,-22.97,-42.02,75.42,15.19
69,Lata,0,IN,1577509229,16,30.78,78.62,31.98,5.44
70,Richards Bay,100,ZA,1577509229,73,-28.77,32.06,71.19,14.43
71,Buraydah,0,SA,1577509230,87,26.33,43.97,44.6,4.7
72,Peniche,0,PT,1577509230,81,39.36,-9.38,57.99,4.7
73,Shevchenkove,90,UA,1577509230,100,49.7,37.18,37.4,2.24
74,Berlevag,100,NO,1577509230,78,70.86,29.09,26.53,29.46
75,Kieta,9,PG,1577509230,62,-6.22,155.63,84.15,3.06
76,Kuytun,97,RU,1577509230,91,54.34,101.51,-19.89,4.36
77,Port Elizabeth,1,US,1577509230,93,39.31,-74.98,50.0,4.7
78,Esperance,0,AU,1577509231,42,-33.86,121.89,80.6,16.11
79,Gemena,98,CD,1577509231,50,3.25,19.78,73.69,0.94
80,Nishihara,20,JP,1577509231,40,35.74,139.53,54.0,21.92
81,Victoria,75,BN,1577509231,70,5.28,115.24,86.0,10.29
82,Beringovskiy,47,RU,1577509231,91,63.05,179.32,-15.18,20.18
83,Palmares,29,BR,1577509231,93,-8.68,-35.59,68.72,2.62
84,Lebu,95,ET,1577509231,69,8.96,38.73,59.77,4.12
85,Garden City,75,US,1577509231,79,43.62,-116.24,30.2,9.17
86,Ban Nahin,0,LA,1577508961,44,18.24,104.21,81.84,2.35
87,Port Lincoln,0,AU,1577509232,39,-34.72,135.86,77.22,14.7
88,Carlagan,0,PH,1577509232,73,14.97,122.05,82.4,9.69
89,Punta Arenas,20,CL,1577509232,75,-53.16,-70.91,44.6,9.17
90,Salalah,75,OM,1577509232,73,17.01,54.1,73.4,16.11
91,Aklavik,90,CA,1577509232,67,68.22,-135.01,-23.8,4.7
92,Iacu,42,BR,1577509232,97,-12.77,-40.21,65.01,5.19
93,Nivala,2,FI,1577509232,90,63.93,24.96,6.01,4.9
94,Bluff,100,AU,1577509233,47,-23.58,149.07,85.15,16.55
95,Broken Hill,99,AU,1577509233,12,-31.97,141.45,104.0,11.41
96,Harvard,90,US,1577509233,96,40.62,-98.1,33.8,5.82
97,Osoyoos,40,CA,1577509233,85,49.03,-119.47,32.0,9.17
98,Alexandria,100,RO,1577509233,80,43.97,25.33,33.01,1.01
99,Albany,90,US,1577509233,70,42.65,-73.75,45.0,14.99
100,College,6,US,1577509233,65,64.86,-147.8,-23.01,4.65
101,Lundazi,100,ZM,1577509234,86,-12.29,33.17,72.28,2.51
102,Ponta do Sol,49,BR,1577509234,95,-20.63,-46.0,64.29,2.68
103,Inhambane,75,MZ,1577509234,83,-23.87,35.38,78.8,9.17
104,Airai,34,TL,1577509234,80,-8.93,125.41,77.76,4.03
105,Kodiak,90,US,1577509234,80,39.95,-94.76,39.99,13.87
106,Maragogi,68,BR,1577509234,73,-9.01,-35.22,79.3,10.67
107,Cayenne,75,GF,1577509234,83,4.94,-52.33,78.8,4.7
108,Les Cayes,23,HT,1577509234,78,18.19,-73.75,80.62,10.4
109,Saint-Philippe,90,CA,1577509234,81,45.36,-73.48,39.2,11.41
110,Los Andes,0,CL,1577509235,30,-32.83,-70.6,69.8,3.36
111,Mogadishu,20,SO,1577509163,73,2.04,45.34,75.2,9.17
112,Viedma,82,AR,1577509235,77,-40.81,-62.99,68.83,11.72
113,Amalapuram,67,IN,1577509235,69,16.58,82.0,82.4,5.82
114,Saposoa,100,PE,1577509235,99,-6.93,-76.77,66.7,2.26
115,Artyom,0,RU,1577509235,34,43.36,132.19,17.6,2.24
116,Arinos,16,BR,1577509235,93,-15.92,-46.11,68.49,3.0
117,Klaksvik,87,FO,1577509236,93,62.23,-6.59,46.4,11.41
118,Hamilton,90,CA,1577509236,83,43.26,-79.87,39.99,8.05
119,Chute-aux-Outardes,40,CA,1577509236,92,49.12,-68.38,25.0,5.82
120,Vanimo,100,PG,1577509236,77,-2.67,141.3,82.42,17.38
121,Abalak,22,NE,1577509236,26,15.46,6.28,56.17,10.16
122,Reyes,100,BO,1577509236,99,-14.3,-67.34,70.83,2.24
123,Miraflores,62,PE,1577509236,62,-16.39,-71.52,59.0,2.24
124,Qaanaaq,10,GL,1577509236,50,77.48,-69.36,-3.91,7.34
125,Coihaique,7,CL,1577509236,53,-45.58,-72.07,51.8,6.93
126,Mayo,90,CA,1577509237,75,63.59,-135.9,-18.4,2.24
127,Zhigansk,100,RU,1577509237,94,66.77,123.37,-25.74,11.34
128,Dyurtyuli,100,RU,1577509237,95,55.49,54.86,20.12,4.27
129,Saint-Joseph,8,FR,1577509237,93,43.56,6.97,46.4,4.7
130,Avera,90,US,1577509237,100,33.19,-82.53,60.8,4.7
131,Paamiut,0,GL,1577509090,49,61.99,-49.67,20.21,4.56
132,Champerico,20,MX,1577509237,77,16.38,-93.6,64.4,5.82
133,Tessalit,0,ML,1577509237,23,20.2,1.01,57.99,12.35
134,Ornskoldsvik,74,SE,1577509238,84,63.29,18.72,-0.4,4.7
135,Mulege,8,MX,1577509238,60,26.88,-111.98,59.54,6.08
136,Sioux Lookout,5,CA,1577509238,79,50.1,-91.92,21.2,10.29
137,Husavik,0,CA,1577509238,91,50.56,-96.99,17.01,3.0
138,Fortuna,1,US,1577509238,100,40.6,-124.16,41.0,3.36
139,Davila,75,PH,1577509238,79,18.47,120.58,84.2,11.41
140,Nemuro,40,JP,1577509238,57,43.32,145.57,23.0,12.75
141,Lavrentiya,0,RU,1577509238,87,65.58,-170.99,-10.86,7.65
142,Vila Velha,75,BR,1577509239,78,-3.71,-38.6,86.0,12.75
143,Staryy Nadym,86,RU,1577509239,97,65.61,72.68,-9.98,8.75
144,Hambantota,40,LK,1577509239,79,6.12,81.12,84.2,13.87
145,Manjacaze,100,MZ,1577509211,69,-24.71,33.88,74.32,14.7
146,Praia da Vitoria,75,PT,1577509239,100,38.73,-27.07,62.6,34.92
147,Chochola,20,MX,1577509239,94,20.75,-89.83,70.0,3.36
148,Wajima,75,JP,1577509239,56,37.4,136.9,41.0,4.7
149,Kananga,100,CD,1577509239,96,-5.9,22.41,69.42,2.51
150,Avarua,24,CK,1577509239,73,-21.21,-159.78,75.2,8.05
151,Quelimane,40,MZ,1577509240,88,-17.88,36.89,82.4,2.24
152,Bethel,1,US,1577509240,62,60.79,-161.76,-16.6,23.04
153,Provideniya,0,RU,1577509240,81,64.42,-173.23,-10.41,7.94
154,Iroquois Falls,20,CA,1577509240,92,48.76,-80.69,26.6,6.93
155,Dikson,100,RU,1577509240,97,73.51,80.55,-7.94,4.41
156,Pevek,24,RU,1577509240,97,69.7,170.27,-20.36,8.9
157,Payson,90,US,1577509240,72,40.04,-111.73,28.4,3.53
158,Guerrero Negro,1,MX,1577509240,70,27.97,-114.04,57.16,12.06
159,Sijunjung,91,ID,1577509241,66,-0.69,100.95,84.85,3.04
160,Kapaa,90,US,1577509241,83,22.08,-159.32,77.0,23.04
161,Petropavlovsk-Kamchatskiy,75,RU,1577509241,63,53.05,158.65,30.2,24.61
162,Kavaratti,40,IN,1577509241,74,10.57,72.64,86.0,4.7
163,Filingue,64,NE,1577509241,20,14.35,3.32,62.49,10.02
164,Nikolskoye,90,RU,1577509241,68,59.7,30.79,30.2,17.9
165,Mar del Plata,14,AR,1577509230,38,-46.43,-67.52,57.04,23.89
166,Tuktoyaktuk,75,CA,1577509241,67,69.44,-133.03,-23.8,12.75
167,Harper,90,US,1577509242,82,30.3,-99.24,62.6,13.87
168,Kahului,40,US,1577509242,78,20.89,-156.47,77.0,9.17
169,Pascagoula,90,US,1577509242,82,30.37,-88.56,68.0,3.36
170,Maniitsoq,0,GL,1577509242,54,65.42,-52.9,15.69,2.28
171,Bosconia,93,CO,1577509242,84,9.97,-73.89,77.63,2.84
172,Yellowknife,90,CA,1577509242,76,62.45,-114.38,-9.4,9.17
173,Ushtobe,99,KZ,1577509242,80,45.25,77.98,37.85,1.14
174,Mugur-Aksy,4,RU,1577509242,74,50.38,90.44,-8.57,2.62
175,Weligama,28,LK,1577509243,56,5.97,80.42,88.07,3.91
176,Arlit,100,NE,1577509243,25,18.74,7.39,60.33,8.08
177,Carnarvon,0,ZA,1577509243,24,-30.97,22.13,67.51,11.48
178,Katsuura,40,JP,1577508960,54,33.93,134.5,51.8,11.41
179,Athlone,100,IE,1577509243,87,53.42,-7.94,48.99,13.0
180,Haines Junction,100,CA,1577509243,96,60.75,-137.51,2.95,5.5
181,Norman Wells,75,CA,1577509243,74,65.28,-126.83,-23.8,2.24
182,Grand Gaube,40,MU,1577509243,74,-20.01,57.66,82.4,12.75
183,Saint George,40,GR,1577509220,64,39.45,22.34,39.2,5.82
184,Pareora,56,NZ,1577509243,37,-44.49,171.21,63.0,4.0
185,Vila,0,IT,1577509244,100,45.18,8.4,37.99,8.05
186,Constitucion,37,MX,1577509244,63,23.99,-104.67,55.0,8.99
187,Kihei,40,US,1577509244,78,20.76,-156.45,77.0,9.17
188,Leningradskiy,90,RU,1577509244,96,69.38,178.42,-15.45,9.93
189,Byron Bay,90,AU,1577509244,57,-28.65,153.62,84.2,16.11
190,Gorontalo,100,ID,1577509244,59,0.54,123.06,88.61,6.4
191,Lodingen,100,NO,1577509244,58,68.41,16.0,36.0,17.22
192,Solnechnyy,92,RU,1577509244,98,50.72,136.64,-14.4,3.02
193,Mporokoso,100,ZM,1577509244,96,-9.37,30.12,64.89,0.83
194,Hervey Bay,40,AU,1577509245,45,-25.3,152.85,86.0,19.46
195,Kalmunai,87,LK,1577509245,70,7.42,81.82,80.56,12.75
196,Santa Maria,70,BR,1577509245,78,-16.02,-48.01,71.6,3.36
197,Atasu,88,KZ,1577509245,84,48.68,71.64,23.52,8.08
198,Zambezi,100,ZM,1577509245,83,-13.55,23.12,71.19,6.87
199,Bulgan,100,MN,1577509245,92,48.81,103.53,-5.37,2.24
200,Pandan,0,PH,1577509245,71,11.72,122.09,84.72,9.69
201,Longyearbyen,96,NO,1577509245,96,78.22,15.63,7.39,2.95
202,Dom Pedrito,4,BR,1577509214,61,-30.98,-54.67,76.75,12.12
203,Yulara,33,AU,1577509246,12,-25.24,130.99,107.6,8.05
204,San Quintin,21,PH,1577509246,77,17.54,120.52,82.49,7.7
205,Mansa,0,IN,1577509246,36,23.43,72.66,60.8,10.29
206,Vila Franca do Campo,75,PT,1577509246,93,37.72,-25.43,66.2,25.28
207,Zarya,92,RU,1577509246,91,44.89,37.47,33.8,6.71
208,Kavieng,32,PG,1577509246,71,-2.57,150.8,84.04,11.25
209,Faya,0,SA,1577509246,93,18.39,42.45,51.8,1.88
210,Koutiala,0,ML,1577509247,17,12.39,-5.46,64.47,8.05
211,Aguimes,1,ES,1577509247,26,27.91,-15.45,72.0,5.82
212,Smithers,90,CA,1577509186,86,54.78,-127.17,26.6,5.82
213,Katobu,87,ID,1577509247,76,-4.94,122.53,85.69,4.09
214,Ndungu,100,TZ,1577509247,84,-4.38,38.06,73.13,3.74
215,Namibe,100,AO,1577509247,88,-15.19,12.15,73.0,6.06
216,Taksimo,75,RU,1577509247,96,56.36,114.84,-17.01,1.59
217,De-Kastri,0,RU,1577509247,87,51.48,140.77,-1.55,14.99
218,Leh,0,IN,1577509248,10,34.16,77.58,8.22,1.7
219,Mecca,0,SA,1577509248,45,21.43,39.83,66.83,5.55
220,Tiksi,100,RU,1577509248,90,71.64,128.87,-26.18,10.63
221,Chokurdakh,100,RU,1577509248,93,70.62,147.9,-28.26,6.91
222,Tuatapere,100,NZ,1577509248,79,-46.13,167.69,52.0,15.01
223,Russell,90,US,1577509248,93,38.9,-98.86,39.0,4.7
224,Ilulissat,94,GL,1577509248,46,69.22,-51.1,10.4,2.24
225,Egvekinot,1,RU,1577509248,92,66.32,-179.17,-12.3,10.45
226,Tabou,0,CI,1577509249,93,4.42,-7.36,74.68,2.55
227,Tzucacab,18,MX,1577509249,88,20.07,-89.05,62.04,0.63
228,Bambous Virieux,40,MU,1577509249,74,-20.34,57.76,82.4,12.75
229,Ponta Delgada,75,PT,1577509249,93,37.73,-25.67,66.2,25.28
230,Bossangoa,100,CF,1577509249,25,6.5,17.45,66.58,1.7
231,Batagay-Alyta,14,RU,1577509249,77,67.8,130.41,-34.71,3.44
232,Grindavik,40,IS,1577509249,93,63.84,-22.43,41.0,9.17
233,Galveston,90,US,1577509249,84,40.58,-86.19,37.4,3.36
234,Tete,40,MZ,1577509250,69,-16.16,33.59,82.4,5.82
235,Shubarshi,99,KZ,1577509250,94,48.59,57.19,25.3,9.51
236,Necochea,21,AR,1577509250,82,-38.55,-58.74,69.53,9.13
237,Mahebourg,40,MU,1577509250,74,-20.41,57.7,82.4,12.75
238,Okakarara,97,NA,1577509250,49,-20.59,17.46,77.41,2.68
239,Tra Vinh,7,VN,1577508976,42,9.93,106.35,90.5,6.93
240,Stephenville,90,CA,1577509250,79,48.55,-58.59,26.6,5.82
241,Khislavichi,100,RU,1577509250,94,54.19,32.16,30.6,12.8
242,Baghdad,0,IQ,1577509023,81,33.3,44.38,42.8,3.36
243,Kaura Namoda,0,NG,1577509251,18,12.59,6.58,57.6,11.63
244,Porkhov,100,RU,1577509251,80,57.77,29.55,30.2,11.18
245,Progreso,84,UY,1577509251,73,-34.68,-56.22,81.0,5.82
246,Puerto Madryn,42,AR,1577509251,28,-42.77,-65.04,68.41,17.49
247,Bani,71,YE,1577509251,64,16.02,42.93,79.43,3.38
248,Blagoyevo,100,RU,1577509251,94,63.37,47.92,7.05,5.77
249,Golspie,75,GB,1577509251,81,57.97,-3.98,52.0,3.36
250,Mehamn,100,NO,1577509251,73,71.03,27.85,22.96,16.42
251,Hami,0,CN,1577509252,51,42.84,93.51,23.99,4.27
252,Marsh Harbour,4,BS,1577509252,79,26.54,-77.06,74.37,22.01
253,Nynashamn,25,SE,1577509252,92,58.9,17.95,28.99,4.7
254,Cananeia,33,BR,1577509150,92,-25.01,-47.93,71.31,2.48
255,Mogadouro,0,PT,1577508980,61,41.34,-6.71,38.05,3.0
256,Nouadhibou,0,MR,1577509252,51,20.93,-17.03,62.6,8.05
257,Los Llanos de Aridane,100,ES,1577509252,36,28.66,-17.92,70.0,5.82
258,Cockburn Town,12,TC,1577508979,78,21.46,-71.14,78.85,19.84
259,Ostrovnoy,43,RU,1577509253,88,68.05,39.51,13.08,19.3
260,Carrboro,20,US,1577509253,87,35.91,-79.08,57.0,3.29
261,Challapata,99,BO,1577509253,81,-18.9,-66.78,47.79,14.79
262,Prince Rupert,90,CA,1577509253,81,54.32,-130.32,44.6,25.28
263,Humaita,92,AR,1577509253,73,-24.93,-65.37,75.2,1.03
264,Aljezur,0,PT,1577509253,84,37.31,-8.8,57.0,4.0
265,Portland,75,US,1577509253,92,43.66,-70.25,45.0,3.36
266,Paramonga,60,PE,1577509253,93,-10.68,-77.82,67.3,8.68
